subscription_id,user_id,plan_name,monthly_fee,start_date,end_date,subscription_status
191,191,Pro,45,2024-11-20,,Active
192,192,Enterprise,79,2024-04-26,,Active
193,193,Basic,29,2024-07-27,,Active
194,194,Pro,45,2024-04-03,,Active
195,195,Enterprise,79,2024-11-01,,Active
196,196,Pro,45,2024-01-07,2026-12-08,Cancelled
197,197,Basic,29,2024-02-21,,Active
198,198,Pro,45,2024-07-04,,Active
199,199,Basic,29,2024-11-03,,Active
200,200,Basic,29,2024-04-08,,Active
201,201,Basic,29,2024-11-06,2026-12-22,Cancelled
202,202,Basic,29,2024-09-25,,Active
203,203,Pro,45,2024-07-30,,Active
204,204,Basic,29,2024-09-24,2025-02-15,Cancelled
205,205,Enterprise,79,2024-11-03,,Active
206,206,Basic,29,2024-11-25,,Active
207,207,Enterprise,79,2024-05-28,2026-12-29,Cancelled
208,208,Pro,45,2024-10-23,,Active
209,209,Basic,29,2024-10-12,,Active
210,210,Basic,29,2024-03-24,,Active
211,211,Pro,45,2024-12-15,2025-03-14,Cancelled
212,212,Pro,45,2024-04-22,,Active
213,213,Basic,29,2024-03-19,,Active
214,214,Pro,45,2024-02-20,2024-10-02,Cancelled
215,215,Basic,29,2024-11-15,,Active
216,216,Enterprise,79,2024-02-19,2025-10-28,Cancelled
217,217,Basic,29,2024-12-19,,Active
218,218,Basic,29,2024-07-20,2024-10-03,Cancelled
219,219,Pro,45,2024-02-06,,Active
220,220,Basic,29,2024-05-11,,Active
221,221,Basic,29,2024-04-12,,Active
222,222,Basic,29,2024-09-06,,Active
223,223,Enterprise,79,2024-01-24,,Active
224,224,Pro,45,2024-11-30,,Active
225,225,Pro,45,2024-06-23,,Active
226,226,Pro,45,2024-12-02,,Active
227,227,Basic,29,2024-06-30,,Active
228,228,Pro,45,2024-04-19,,Active
229,229,Pro,45,2024-10-09,,Active
230,230,Enterprise,79,2024-04-22,,Active
231,231,Basic,29,2024-02-19,,Active
232,232,Pro,45,2024-08-21,,Active
233,233,Pro,45,2024-06-26,,Active
234,234,Basic,29,2024-05-10,,Active
235,235,Pro,45,2024-09-18,2025-05-10,Cancelled
236,236,Pro,45,2024-10-31,,Active
237,237,Enterprise,79,2024-10-07,,Active
238,238,Basic,29,2024-03-15,,Active
239,239,Basic,29,2024-12-04,,Active
240,240,Enterprise,79,2024-07-23,,Active
241,241,Basic,29,2024-03-15,,Active
242,242,Pro,45,2024-07-05,,Active
243,243,Basic,29,2024-12-13,,Active
244,244,Pro,45,2024-01-31,,Active
245,245,Enterprise,79,2024-12-28,,Active
246,246,Basic,29,2024-03-28,,Active
247,247,Basic,29,2024-01-03,,Active
248,248,Pro,45,2024-05-04,2024-12-25,Cancelled
249,249,Enterprise,79,2024-12-20,,Active
250,250,Enterprise,79,2024-03-13,2024-09-08,Cancelled
251,251,Basic,29,2024-12-26,,Active
252,252,Enterprise,79,2024-06-30,2025-05-17,Cancelled
253,253,Pro,45,2024-01-06,,Active
254,254,Basic,29,2024-11-17,,Active
255,255,Pro,45,2024-12-29,2025-04-30,Cancelled
256,256,Basic,29,2024-08-10,,Active
257,257,Pro,45,2024-06-06,,Active
258,258,Basic,29,2024-03-26,,Active
259,259,Basic,29,2024-11-07,2025-05-09,Cancelled
260,260,Pro,45,2024-01-31,,Active
261,261,Enterprise,79,2024-11-27,,Active
262,262,Pro,45,2024-11-10,,Active
263,263,Pro,45,2024-10-07,,Active
264,264,Basic,29,2024-09-29,,Active
265,265,Basic,29,2024-06-07,,Active
266,266,Pro,45,2024-12-03,,Active
267,267,Basic,29,2024-07-27,,Active
268,268,Basic,29,2024-09-18,,Active
269,269,Basic,29,2024-03-14,2026-02-27,Cancelled
270,270,Pro,45,2024-03-21,,Active
271,271,Pro,45,2024-04-01,,Active
272,272,Basic,29,2024-08-11,,Active
273,273,Basic,29,2024-06-09,,Active
274,274,Basic,29,2024-01-19,,Active
275,275,Basic,29,2024-05-26,,Active
276,276,Basic,29,2024-12-21,,Active
277,277,Basic,29,2024-09-08,,Active
278,278,Enterprise,79,2024-08-22,,Active
279,279,Pro,45,2024-04-27,,Active
280,280,Basic,29,2024-09-27,,Active
281,281,Basic,29,2024-09-08,,Active
282,282,Pro,45,2024-07-01,,Active
283,283,Basic,29,2024-02-26,,Active
284,284,Basic,29,2024-03-30,,Active
285,285,Basic,29,2024-03-06,,Active
286,286,Pro,45,2024-01-23,,Active
287,287,Basic,29,2024-03-30,,Active
288,288,Basic,29,2024-09-15,,Active
289,289,Basic,29,2024-01-07,,Active
290,290,Basic,29,2024-11-09,,Active
291,291,Basic,29,2024-11-12,2026-08-11,Cancelled
292,292,Pro,45,2024-03-28,2026-03-22,Cancelled
293,293,Basic,29,2024-07-03,,Active
294,294,Basic,29,2024-08-07,,Active
295,295,Pro,45,2024-12-10,,Active
296,296,Enterprise,79,2024-12-26,,Active
297,297,Basic,29,2024-12-26,,Active
298,298,Basic,29,2024-05-29,,Active
299,299,Basic,29,2024-02-07,,Active
300,300,Pro,45,2024-09-03,2025-04-07,Cancelled
301,301,Basic,29,2024-09-20,,Active
302,302,Basic,29,2024-02-29,,Active
303,303,Pro,45,2024-01-03,,Active
304,304,Basic,29,2024-08-04,,Active
305,305,Basic,29,2024-12-01,,Active
306,306,Basic,29,2024-08-10,,Active
307,307,Pro,45,2024-03-05,,Active
308,308,Basic,29,2024-08-30,,Active
309,309,Pro,45,2024-05-27,,Active
310,310,Pro,45,2024-03-19,,Active
311,311,Basic,29,2024-05-06,,Active
312,312,Pro,45,2024-03-10,,Active
313,313,Basic,29,2024-11-05,,Active
314,314,Pro,45,2024-04-27,,Active
315,315,Enterprise,79,2024-08-14,,Active
316,316,Pro,45,2024-09-29,,Active
317,317,Basic,29,2024-05-17,,Active
318,318,Pro,45,2024-02-11,,Active
319,319,Basic,29,2024-08-16,,Active
320,320,Basic,29,2024-02-15,,Active
321,321,Pro,45,2024-05-15,,Active
322,322,Basic,29,2024-11-25,,Active
323,323,Pro,45,2024-08-05,,Active
324,324,Basic,29,2024-01-12,,Active
325,325,Enterprise,79,2024-03-20,,Active
326,326,Basic,29,2024-05-06,,Active
327,327,Basic,29,2024-08-19,,Active
328,328,Basic,29,2024-10-01,,Active
329,329,Pro,45,2024-03-12,2024-06-03,Cancelled
330,330,Basic,29,2024-09-03,,Active
331,331,Pro,45,2024-03-13,,Active
332,332,Basic,29,2024-11-12,2025-05-09,Cancelled
333,333,Pro,45,2024-11-22,,Active
334,334,Basic,29,2024-04-22,,Active
335,335,Basic,29,2024-02-14,,Active
336,336,Basic,29,2024-06-14,,Active
337,337,Basic,29,2024-05-15,,Active
338,338,Basic,29,2024-08-16,,Active
339,339,Pro,45,2024-11-11,2025-03-29,Cancelled
340,340,Basic,29,2024-04-23,,Active
341,341,Basic,29,2024-12-22,,Active
342,342,Pro,45,2024-10-22,,Active
343,343,Pro,45,2024-09-03,,Active
344,344,Pro,45,2024-05-07,,Active
345,345,Basic,29,2024-09-27,,Active
346,346,Enterprise,79,2024-04-14,,Active
347,347,Basic,29,2024-12-13,,Active
348,348,Basic,29,2024-06-26,,Active
349,349,Basic,29,2024-02-06,,Active
350,350,Basic,29,2024-09-28,,Active
351,351,Pro,45,2024-08-18,2025-02-14,Cancelled
352,352,Pro,45,2024-01-28,,Active
353,353,Enterprise,79,2024-05-28,,Active
354,354,Enterprise,79,2024-09-09,2025-03-03,Cancelled
355,355,Pro,45,2024-11-29,,Active
356,356,Pro,45,2024-05-02,,Active
357,357,Basic,29,2024-04-20,,Active
358,358,Basic,29,2024-10-17,,Active
359,359,Pro,45,2024-09-04,,Active
360,360,Basic,29,2024-06-12,2026-01-27,Cancelled
361,361,Pro,45,2024-03-24,2025-12-09,Cancelled
362,362,Basic,29,2024-09-29,,Active
363,363,Basic,29,2024-12-23,2025-03-14,Cancelled
364,364,Basic,29,2024-09-21,,Active
365,365,Basic,29,2024-02-15,,Active
366,366,Enterprise,79,2024-01-05,,Active
367,367,Basic,29,2024-12-10,,Active
368,368,Pro,45,2024-10-03,,Active
369,369,Basic,29,2024-03-02,,Active
370,370,Pro,45,2024-11-29,,Active
371,371,Basic,29,2024-08-02,,Active
372,372,Basic,29,2024-05-04,,Active
373,373,Pro,45,2024-06-04,,Active
374,374,Basic,29,2024-05-23,,Active
375,375,Basic,29,2024-10-27,,Active
376,376,Basic,29,2024-03-31,,Active
377,377,Pro,45,2024-05-26,,Active
378,378,Basic,29,2024-10-03,,Active
379,379,Pro,45,2024-10-17,,Active
380,380,Basic,29,2024-06-17,,Active
381,381,Pro,45,2024-06-24,,Active
382,382,Pro,45,2024-05-01,2024-11-18,Cancelled
383,383,Basic,29,2024-02-05,2024-11-11,Cancelled
384,384,Basic,29,2024-02-05,,Active
385,385,Pro,45,2024-01-13,2024-03-18,Cancelled
386,386,Pro,45,2024-02-17,,Active
387,387,Pro,45,2024-09-01,,Active
388,388,Basic,29,2024-06-21,2024-12-25,Cancelled
389,389,Basic,29,2024-12-24,,Active
390,390,Pro,45,2024-03-24,,Active
391,391,Basic,29,2024-09-08,,Active
392,392,Basic,29,2024-03-18,,Active
393,393,Pro,45,2024-07-05,2024-08-23,Cancelled
394,394,Basic,29,2024-08-19,2026-07-13,Cancelled
395,395,Pro,45,2024-10-24,,Active
396,396,Basic,29,2024-01-22,,Active
397,397,Basic,29,2024-04-01,,Active
398,398,Enterprise,79,2024-08-06,,Active
399,399,Enterprise,79,2024-01-15,,Active
400,400,Basic,29,2024-11-09,,Active
401,401,Basic,29,2025-12-23,,Active
402,402,Enterprise,79,2025-02-09,,Active
403,403,Basic,29,2025-05-04,,Active
404,404,Basic,29,2025-04-30,,Active
405,405,Basic,29,2025-11-27,,Active
406,406,Pro,45,2025-02-24,,Active
407,407,Pro,45,2025-01-05,,Active
408,408,Basic,29,2025-06-20,,Active
409,409,Basic,29,2025-05-26,,Active
410,410,Basic,29,2025-04-25,,Active
411,411,Pro,45,2025-01-30,,Active
412,412,Pro,45,2025-03-06,,Active
413,413,Basic,29,2025-08-04,2025-11-17,Cancelled
414,414,Pro,45,2025-08-11,,Active
415,415,Basic,29,2025-08-31,2026-05-24,Cancelled
416,416,Pro,45,2025-11-24,,Active
417,417,Basic,29,2025-05-25,,Active
418,418,Enterprise,79,2025-08-08,2026-09-23,Cancelled
419,419,Pro,45,2025-10-21,,Active
420,420,Pro,45,2025-08-11,,Active
421,421,Basic,29,2025-09-21,,Active
422,422,Pro,45,2025-01-17,,Active
423,423,Pro,45,2025-12-22,,Active
424,424,Basic,29,2025-11-02,,Active
425,425,Basic,29,2025-08-15,,Active
426,426,Basic,29,2025-12-07,,Active
427,427,Basic,29,2025-02-25,,Active
428,428,Basic,29,2025-04-03,,Active
429,429,Pro,45,2025-11-24,,Active
430,430,Basic,29,2025-04-15,,Active
431,431,Basic,29,2025-07-08,,Active
432,432,Basic,29,2025-02-22,,Active
433,433,Basic,29,2025-04-07,2026-11-18,Cancelled
434,434,Enterprise,79,2025-06-04,,Active
435,435,Basic,29,2025-08-16,,Active
436,436,Basic,29,2025-05-31,,Active
437,437,Enterprise,79,2025-03-22,,Active
438,438,Basic,29,2025-08-22,,Active
439,439,Basic,29,2025-11-27,,Active
440,440,Pro,45,2025-09-15,,Active
441,441,Basic,29,2025-05-11,,Active
442,442,Basic,29,2025-11-09,,Active
443,443,Enterprise,79,2025-04-11,,Active
444,444,Basic,29,2025-07-27,,Active
445,445,Basic,29,2025-04-25,,Active
446,446,Basic,29,2025-02-04,,Active
447,447,Pro,45,2025-04-12,,Active
448,448,Basic,29,2025-01-28,,Active
449,449,Basic,29,2025-12-05,,Active
450,450,Basic,29,2025-05-03,,Active
451,451,Basic,29,2025-01-23,,Active
452,452,Basic,29,2025-02-20,,Active
453,453,Pro,45,2025-03-19,,Active
454,454,Basic,29,2025-04-07,,Active
455,455,Pro,45,2025-01-26,,Active
456,456,Pro,45,2025-05-20,,Active
457,457,Pro,45,2025-02-20,,Active
458,458,Basic,29,2025-05-26,,Active
459,459,Basic,29,2025-09-11,,Active
460,460,Pro,45,2025-07-04,,Active
461,461,Basic,29,2025-07-22,2026-06-26,Cancelled
462,462,Basic,29,2025-02-14,,Active
463,463,Basic,29,2025-06-09,,Active
464,464,Basic,29,2025-01-02,,Active
465,465,Enterprise,79,2025-01-30,2025-08-11,Cancelled
466,466,Pro,45,2025-06-30,,Active
467,467,Enterprise,79,2025-02-15,,Active
468,468,Basic,29,2025-12-14,,Active
469,469,Enterprise,79,2025-06-05,,Active
470,470,Enterprise,79,2025-02-13,,Active
471,471,Pro,45,2025-11-08,,Active
472,472,Basic,29,2025-02-13,,Active
473,473,Basic,29,2025-08-08,,Active
474,474,Basic,29,2025-05-15,,Active
475,475,Basic,29,2025-11-26,,Active
476,476,Enterprise,79,2025-01-20,,Active
477,477,Basic,29,2025-06-24,2025-11-24,Cancelled
478,478,Basic,29,2025-06-06,,Active
479,479,Pro,45,2025-04-29,2026-08-25,Cancelled
480,480,Basic,29,2025-11-14,2026-04-29,Cancelled
481,481,Basic,29,2025-06-25,,Active
482,482,Pro,45,2025-05-26,2025-06-23,Cancelled
483,483,Basic,29,2025-02-11,,Active
484,484,Basic,29,2025-10-06,,Active
485,485,Pro,45,2025-08-17,,Active
486,486,Basic,29,2025-07-07,,Active
487,487,Pro,45,2025-09-13,,Active
488,488,Pro,45,2025-10-24,,Active
489,489,Pro,45,2025-08-22,2026-04-07,Cancelled
490,490,Basic,29,2025-03-23,,Active
491,491,Basic,29,2025-07-15,2026-10-02,Cancelled
492,492,Basic,29,2025-10-03,,Active
493,493,Pro,45,2025-02-11,,Active
494,494,Basic,29,2025-09-23,,Active
495,495,Pro,45,2025-11-13,2026-04-11,Cancelled
496,496,Pro,45,2025-07-18,2026-06-18,Cancelled
497,497,Basic,29,2025-05-02,,Active
498,498,Enterprise,79,2025-11-19,,Active
499,499,Pro,45,2025-10-29,,Active
500,500,Pro,45,2025-02-16,,Active
501,501,Basic,29,2025-05-09,,Active
502,502,Pro,45,2025-11-03,2026-08-25,Cancelled
503,503,Basic,29,2025-11-02,,Active
504,504,Pro,45,2025-05-09,,Active
505,505,Basic,29,2025-01-04,,Active
506,506,Basic,29,2025-05-29,,Active
507,507,Pro,45,2025-11-08,,Active
508,508,Basic,29,2025-03-07,,Active
509,509,Basic,29,2025-12-02,,Active
510,510,Basic,29,2025-09-24,2026-06-12,Cancelled
511,511,Basic,29,2025-08-05,,Active
512,512,Pro,45,2025-06-18,,Active
513,513,Pro,45,2025-08-16,,Active
514,514,Pro,45,2025-02-03,,Active
515,515,Basic,29,2025-10-18,2026-03-28,Cancelled
516,516,Enterprise,79,2025-09-09,,Active
517,517,Basic,29,2025-06-03,,Active
518,518,Basic,29,2025-03-13,2026-05-03,Cancelled
519,519,Pro,45,2025-11-27,,Active
520,520,Basic,29,2025-03-18,,Active
521,521,Pro,45,2025-08-29,,Active
522,522,Basic,29,2025-08-08,,Active
523,523,Enterprise,79,2025-10-04,,Active
524,524,Basic,29,2025-06-29,,Active
525,525,Pro,45,2025-11-30,2025-12-10,Cancelled
526,526,Basic,29,2025-09-03,,Active
527,527,Enterprise,79,2025-12-14,,Active
528,528,Basic,29,2025-06-04,,Active
529,529,Basic,29,2025-03-11,,Active
530,530,Basic,29,2025-01-16,,Active
531,531,Basic,29,2025-05-31,,Active
532,532,Basic,29,2025-04-13,2026-09-07,Cancelled
533,533,Basic,29,2025-07-20,,Active
534,534,Enterprise,79,2025-11-04,,Active
535,535,Pro,45,2025-03-24,,Active
536,536,Pro,45,2025-10-07,2026-02-22,Cancelled
537,537,Basic,29,2025-01-17,,Active
538,538,Pro,45,2025-04-11,,Active
539,539,Basic,29,2025-02-03,,Active
540,540,Pro,45,2025-02-25,,Active
541,541,Basic,29,2025-08-18,,Active
542,542,Pro,45,2025-09-23,,Active
543,543,Basic,29,2025-12-07,,Active
544,544,Basic,29,2025-11-18,,Active
545,545,Basic,29,2025-09-28,,Active
546,546,Basic,29,2025-12-19,,Active
547,547,Basic,29,2025-04-21,,Active
548,548,Basic,29,2025-07-22,,Active
549,549,Pro,45,2025-09-11,2026-08-30,Cancelled
550,550,Pro,45,2025-08-03,,Active
551,551,Basic,29,2025-05-14,2026-10-01,Cancelled
552,552,Enterprise,79,2025-03-04,,Active
553,553,Pro,45,2025-11-09,,Active
554,554,Pro,45,2025-05-25,,Active
555,555,Basic,29,2025-10-04,,Active
556,556,Enterprise,79,2025-11-27,2026-07-19,Cancelled
557,557,Basic,29,2025-03-31,,Active
558,558,Basic,29,2025-10-30,2026-12-08,Cancelled
559,559,Pro,45,2025-12-23,,Active
560,560,Basic,29,2025-03-17,,Active
561,561,Basic,29,2025-07-15,,Active
562,562,Enterprise,79,2025-06-21,,Active
563,563,Basic,29,2025-12-01,,Active
564,564,Pro,45,2025-06-10,,Active
565,565,Basic,29,2025-10-18,,Active
566,566,Basic,29,2025-04-15,,Active
567,567,Pro,45,2025-04-05,,Active
568,568,Basic,29,2025-02-16,2025-05-07,Cancelled
569,569,Basic,29,2025-11-26,,Active
570,570,Basic,29,2025-03-28,,Active
571,571,Basic,29,2025-07-15,,Active
572,572,Basic,29,2025-06-28,,Active
573,573,Basic,29,2025-08-26,2025-12-20,Cancelled
574,574,Pro,45,2025-03-13,,Active
575,575,Enterprise,79,2025-09-24,,Active
576,576,Basic,29,2025-02-26,,Active
577,577,Basic,29,2025-07-20,,Active
578,578,Pro,45,2025-02-08,,Active
579,579,Enterprise,79,2025-10-17,,Active
580,580,Basic,29,2025-12-03,,Active
581,581,Basic,29,2025-09-19,,Active
582,582,Basic,29,2025-02-26,,Active
583,583,Basic,29,2025-11-26,,Active
584,584,Basic,29,2025-09-08,,Active
585,585,Basic,29,2025-03-06,,Active
586,586,Basic,29,2025-06-04,,Active
587,587,Basic,29,2025-02-10,,Active
588,588,Enterprise,79,2025-04-21,,Active
589,589,Basic,29,2025-12-02,,Active
590,590,Basic,29,2025-08-18,,Active
591,591,Pro,45,2025-05-01,,Active
592,592,Basic,29,2025-03-02,,Active
593,593,Basic,29,2025-09-25,2026-05-02,Cancelled
594,594,Basic,29,2025-03-31,2025-08-14,Cancelled
595,595,Pro,45,2025-10-14,2025-12-31,Cancelled
596,596,Basic,29,2025-11-10,2026-01-18,Cancelled
597,597,Basic,29,2025-04-23,,Active
598,598,Pro,45,2025-01-20,,Active
599,599,Basic,29,2025-02-05,,Active
600,600,Enterprise,79,2025-09-28,,Active
601,601,Pro,45,2025-07-30,,Active
602,602,Basic,29,2025-04-07,,Active
603,603,Pro,45,2025-07-22,,Active
604,604,Basic,29,2025-08-02,,Active
605,605,Pro,45,2025-03-26,,Active
606,606,Basic,29,2025-06-03,,Active
607,607,Pro,45,2025-10-27,,Active
608,608,Enterprise,79,2025-09-08,,Active
609,609,Basic,29,2025-10-21,,Active
610,610,Pro,45,2025-04-08,,Active
611,611,Basic,29,2025-03-14,,Active
612,612,Pro,45,2025-11-15,,Active
613,613,Basic,29,2025-11-29,,Active
614,614,Basic,29,2025-03-15,2025-10-21,Cancelled
615,615,Basic,29,2025-07-23,2025-08-09,Cancelled
616,616,Pro,45,2025-03-16,,Active
