usage_id,user_id,activity_month,login_count,dashboards_viewed,reports_generated,api_calls,session_minutes
77,3,2026-02-01,15,67,22,902,843
78,3,2026-03-01,9,40,20,878,99
79,3,2026-04-01,11,53,24,320,875
80,3,2026-05-01,4,11,2,747,255
81,3,2026-06-01,4,22,18,58,96
82,3,2026-07-01,25,37,17,951,514
83,3,2026-08-01,27,2,13,693,530
84,3,2026-09-01,25,18,15,509,537
85,3,2026-10-01,23,69,22,127,425
86,3,2026-11-01,2,79,6,932,861
87,3,2026-12-01,25,1,22,435,729
88,4,2024-07-01,19,45,7,756,687
89,4,2024-08-01,28,68,21,623,53
90,4,2024-09-01,21,58,5,690,792
91,4,2024-10-01,18,29,5,76,385
92,4,2024-11-01,28,18,16,361,62
93,4,2024-12-01,15,64,12,174,392
94,4,2025-01-01,5,44,21,255,861
95,4,2025-02-01,19,16,9,306,504
96,4,2025-03-01,11,34,6,2,765
97,4,2025-04-01,22,73,12,222,322
98,4,2025-05-01,22,66,1,957,484
99,4,2025-06-01,30,80,15,58,374
100,4,2025-07-01,2,79,14,336,315
101,4,2025-08-01,13,14,0,358,749
102,4,2025-09-01,7,52,11,9,113
103,4,2025-10-01,15,63,6,86,551
104,4,2025-11-01,18,20,13,126,509
105,4,2025-12-01,2,20,24,672,266
106,4,2026-01-01,9,61,12,383,316
107,4,2026-02-01,13,55,5,549,841
108,4,2026-03-01,10,14,14,672,869
109,4,2026-04-01,16,21,4,362,775
110,4,2026-05-01,15,1,11,904,736
111,4,2026-06-01,8,15,6,291,51
112,4,2026-07-01,6,51,13,761,349
113,4,2026-08-01,30,5,5,682,213
114,4,2026-09-01,17,35,3,431,510
115,4,2026-10-01,19,64,25,698,741
116,4,2026-11-01,6,42,24,782,809
117,4,2026-12-01,30,52,16,743,769
118,5,2024-12-01,28,50,4,112,120
119,5,2025-01-01,27,3,4,159,362
120,5,2025-02-01,18,2,24,700,252
121,5,2025-03-01,3,44,13,999,621
122,5,2025-04-01,25,2,13,491,306
123,5,2025-05-01,11,63,2,779,449
124,5,2025-06-01,9,80,4,746,533
125,5,2025-07-01,7,32,8,785,127
126,5,2025-08-01,29,34,22,253,692
127,5,2025-09-01,28,55,6,485,733
128,5,2025-10-01,27,14,22,747,524
129,5,2025-11-01,21,24,6,875,615
130,5,2025-12-01,22,20,7,123,145
131,5,2026-01-01,14,5,8,196,159
132,5,2026-02-01,15,3,19,204,103
133,5,2026-03-01,29,7,12,417,547
134,5,2026-04-01,11,30,7,344,446
135,5,2026-05-01,17,8,16,437,669
136,5,2026-06-01,3,39,3,275,382
137,5,2026-07-01,10,45,22,428,262
138,5,2026-08-01,12,7,5,41,10
139,5,2026-09-01,3,42,6,292,493
140,5,2026-10-01,10,78,3,441,199
141,5,2026-11-01,10,63,11,342,321
142,5,2026-12-01,5,13,21,13,709
143,6,2024-09-01,19,17,10,369,769
144,6,2024-10-01,27,47,23,797,613
145,6,2024-11-01,18,78,11,243,675
146,6,2024-12-01,10,27,18,393,99
147,6,2025-01-01,30,14,4,644,770
148,6,2025-02-01,21,16,1,600,680
149,6,2025-03-01,28,25,6,721,466
150,6,2025-04-01,5,10,17,633,361
151,6,2025-05-01,11,61,24,206,556
152,6,2025-06-01,25,20,1,130,206
153,6,2025-07-01,15,71,22,258,787
154,6,2025-08-01,29,72,11,916,384
155,6,2025-09-01,16,16,13,69,504
156,6,2025-10-01,15,68,16,809,32
157,6,2025-11-01,7,77,8,713,142
158,6,2025-12-01,11,6,18,62,823
159,6,2026-01-01,24,25,23,834,417
160,6,2026-02-01,17,69,16,994,86
161,6,2026-03-01,7,57,24,521,403
162,6,2026-04-01,19,50,12,621,288
163,6,2026-05-01,8,24,0,163,595
164,6,2026-06-01,8,76,22,9,819
165,6,2026-07-01,18,59,16,724,747
166,6,2026-08-01,18,34,9,872,235
167,6,2026-09-01,11,35,17,121,185
168,6,2026-10-01,9,6,17,243,308
169,6,2026-11-01,3,19,8,949,146
170,6,2026-12-01,10,7,20,254,853
171,7,2024-04-01,8,69,3,1,674
172,7,2024-05-01,13,78,11,332,95
173,7,2024-06-01,24,71,8,739,146
174,7,2024-07-01,15,79,9,332,68
175,7,2024-08-01,22,2,11,224,758
176,7,2024-09-01,10,23,8,994,26
177,7,2024-10-01,19,75,3,739,773
178,7,2024-11-01,24,49,20,263,900
179,7,2024-12-01,22,78,17,211,846
180,7,2025-01-01,16,29,10,275,218
181,7,2025-02-01,20,51,4,456,247
182,7,2025-03-01,25,56,11,151,500
183,7,2025-04-01,4,64,5,470,199
184,7,2025-05-01,28,23,6,583,512
185,7,2025-06-01,25,24,20,288,31
186,7,2025-07-01,11,21,5,837,413
187,7,2025-08-01,23,78,6,71,156
188,7,2025-09-01,4,55,7,465,670
189,7,2025-10-01,14,13,23,539,150
190,7,2025-11-01,25,2,19,102,396
191,7,2025-12-01,14,3,3,846,23
192,7,2026-01-01,26,6,4,254,798
193,7,2026-02-01,4,35,4,961,652
194,7,2026-03-01,21,2,25,989,19
195,7,2026-04-01,27,14,17,753,847
196,7,2026-05-01,12,11,6,142,501
197,7,2026-06-01,26,73,14,835,177
198,7,2026-07-01,11,43,15,158,259
199,7,2026-08-01,3,70,22,273,652
200,7,2026-09-01,19,16,0,844,55
201,7,2026-10-01,5,70,9,105,533
202,7,2026-11-01,30,54,4,1,239
203,7,2026-12-01,2,30,13,394,160
204,8,2024-04-01,13,37,7,943,710
205,8,2024-05-01,14,15,15,173,122
206,8,2024-06-01,9,14,9,365,88
207,8,2024-07-01,21,43,3,369,96
208,8,2024-08-01,30,6,19,154,192
209,8,2024-09-01,15,68,10,614,195
210,8,2024-10-01,23,55,4,914,693
211,8,2024-11-01,23,39,19,837,303
212,8,2024-12-01,13,14,8,938,521
213,8,2025-01-01,23,48,8,830,738
214,8,2025-02-01,27,10,25,2,892
215,8,2025-03-01,6,19,10,151,409
216,8,2025-04-01,16,62,2,115,601
217,8,2025-05-01,15,36,4,92,340
218,8,2025-06-01,6,24,24,394,371
219,8,2025-07-01,12,64,13,492,720
220,8,2025-08-01,15,78,25,651,351
221,8,2025-09-01,6,32,12,428,572
222,8,2025-10-01,17,69,17,504,555
223,8,2025-11-01,19,30,12,85,604
224,8,2025-12-01,24,54,16,591,805
225,8,2026-01-01,24,29,22,89,250
226,8,2026-02-01,13,1,6,871,27
227,8,2026-03-01,13,72,15,980,146
228,8,2026-04-01,5,8,11,369,879
229,8,2026-05-01,29,18,9,471,157
230,8,2026-06-01,28,71,13,248,225
231,8,2026-07-01,28,29,1,764,151
232,8,2026-08-01,5,19,12,750,36
233,8,2026-09-01,24,55,11,55,728
234,8,2026-10-01,5,75,2,488,867
235,8,2026-11-01,21,21,0,150,384
236,8,2026-12-01,6,11,7,78,22
237,9,2024-05-01,20,54,4,783,196
238,9,2024-06-01,17,18,23,540,725
239,9,2024-07-01,11,61,13,739,355
240,9,2024-08-01,16,2,9,113,169
241,9,2024-09-01,3,5,19,769,187
242,9,2024-10-01,18,21,0,405,862
243,9,2024-11-01,15,59,17,728,859
244,9,2024-12-01,10,74,16,313,736
245,9,2025-01-01,9,55,5,278,104
246,9,2025-02-01,18,49,4,760,226
247,9,2025-03-01,14,80,1,224,411
248,9,2025-04-01,7,72,19,861,89
249,9,2025-05-01,28,60,15,320,678
250,9,2025-06-01,22,52,12,168,65
251,9,2025-07-01,27,48,20,434,209
252,9,2025-08-01,10,14,3,79,381
253,9,2025-09-01,21,43,0,245,298
254,9,2025-10-01,7,70,3,66,226
255,9,2025-11-01,21,2,24,931,326
256,9,2025-12-01,8,71,6,653,43
257,9,2026-01-01,9,35,2,1000,593
258,9,2026-02-01,20,6,18,809,505
259,9,2026-03-01,3,7,10,95,326
260,9,2026-04-01,2,46,24,289,417
261,9,2026-05-01,18,25,10,769,410
262,9,2026-06-01,25,46,4,719,700
263,9,2026-07-01,5,43,13,918,769
264,9,2026-08-01,18,13,16,826,803
265,9,2026-09-01,6,4,18,815,401
266,9,2026-10-01,17,76,1,297,175
267,9,2026-11-01,6,60,2,906,650
268,9,2026-12-01,4,30,6,826,707
269,10,2024-04-01,22,19,24,735,174
270,10,2024-05-01,18,67,23,623,677
271,10,2024-06-01,18,44,14,804,144
272,10,2024-07-01,12,38,11,638,886
273,10,2024-08-01,15,6,22,792,709
274,10,2024-09-01,14,31,6,625,631
275,10,2024-10-01,4,20,18,642,519
276,10,2024-11-01,5,2,4,784,326
277,10,2024-12-01,19,12,15,96,475
278,10,2025-01-01,12,22,9,165,79
279,10,2025-02-01,10,74,11,361,101
280,10,2025-03-01,4,23,22,790,481
281,10,2025-04-01,10,61,8,781,462
282,10,2025-05-01,22,18,3,995,592
283,10,2025-06-01,17,6,11,879,303
284,10,2025-07-01,14,53,19,939,706
285,10,2025-08-01,6,57,11,524,875
286,10,2025-09-01,21,41,11,85,708
287,10,2025-10-01,15,65,14,269,708
288,10,2025-11-01,3,80,20,58,768
289,10,2025-12-01,27,32,22,840,584
290,10,2026-01-01,2,20,3,297,394
291,10,2026-02-01,7,73,12,874,84
292,10,2026-03-01,9,50,14,685,105
293,10,2026-04-01,13,60,14,657,557
294,10,2026-05-01,30,60,3,87,194
295,10,2026-06-01,25,14,12,786,453
296,10,2026-07-01,8,52,10,66,334
297,10,2026-08-01,12,78,15,217,729
298,10,2026-09-01,25,61,3,285,475
299,10,2026-10-01,3,70,4,971,491
300,10,2026-11-01,6,28,10,581,42
301,10,2026-12-01,21,49,1,958,837
302,11,2024-06-01,13,56,15,218,65
303,11,2024-07-01,8,3,24,700,443
304,11,2024-08-01,10,33,20,180,95
305,11,2024-09-01,6,9,8,414,93
306,11,2024-10-01,11,58,13,537,229
307,11,2024-11-01,23,34,5,850,65
308,11,2024-12-01,4,55,10,986,781
309,11,2025-01-01,11,22,6,357,439
310,11,2025-02-01,17,61,17,705,812
311,11,2025-03-01,7,56,11,934,719
312,11,2025-04-01,20,50,0,574,811
313,11,2025-05-01,30,77,6,79,750
314,11,2025-06-01,23,75,19,148,341
315,11,2025-07-01,23,41,0,154,479
316,11,2025-08-01,6,64,10,116,821
317,11,2025-09-01,23,53,8,533,749
318,11,2025-10-01,2,58,4,649,470
319,11,2025-11-01,22,75,3,37,233
320,11,2025-12-01,25,25,13,713,569
321,11,2026-01-01,26,22,19,386,231
322,11,2026-02-01,13,27,6,995,705
323,11,2026-03-01,20,2,11,833,382
324,11,2026-04-01,2,39,9,514,848
325,11,2026-05-01,29,16,22,511,674
326,11,2026-06-01,16,53,13,360,370
327,11,2026-07-01,28,70,13,535,793
328,11,2026-08-01,12,15,5,469,448
329,11,2026-09-01,13,23,17,609,176
330,11,2026-10-01,19,56,12,291,875
331,11,2026-11-01,23,56,20,290,728
332,11,2026-12-01,21,13,2,825,867
333,12,2024-11-01,5,12,20,16,641
334,12,2024-12-01,15,14,15,767,779
335,12,2025-01-01,21,70,3,648,464
336,12,2025-02-01,18,75,25,33,693
337,12,2025-03-01,11,54,6,228,805
338,12,2025-04-01,16,71,12,117,210
339,12,2025-05-01,29,61,3,359,822
340,12,2025-06-01,16,53,20,720,813
341,12,2025-07-01,25,51,0,962,393
342,12,2025-08-01,27,29,16,290,284
343,12,2025-09-01,30,34,9,858,824
344,12,2025-10-01,15,31,0,921,434
345,12,2025-11-01,3,2,0,157,819
346,12,2025-12-01,13,67,23,614,335
347,12,2026-01-01,12,22,18,440,257
348,12,2026-02-01,19,51,6,631,669
349,12,2026-03-01,14,7,25,954,601
350,12,2026-04-01,15,17,20,399,755
351,12,2026-05-01,7,52,10,529,172
352,12,2026-06-01,15,30,3,727,830
353,12,2026-07-01,6,65,3,646,600
354,12,2026-08-01,27,51,24,642,276
355,12,2026-09-01,28,71,5,971,340
356,12,2026-10-01,8,12,2,26,457
357,12,2026-11-01,2,76,4,28,642
358,12,2026-12-01,24,70,2,585,401
359,13,2024-08-01,2,17,14,649,656
360,13,2024-09-01,26,46,5,245,678
361,13,2024-10-01,30,29,9,198,558
362,13,2024-11-01,28,32,23,798,836
363,13,2024-12-01,27,49,24,266,685
364,13,2025-01-01,3,36,2,957,157
365,13,2025-02-01,22,3,20,593,897
366,13,2025-03-01,5,15,14,949,620
367,13,2025-04-01,5,14,4,289,278
368,13,2025-05-01,30,24,2,79,516
369,13,2025-06-01,29,47,6,400,113
370,13,2025-07-01,17,3,13,75,508
371,13,2025-08-01,22,10,6,703,439
372,13,2025-09-01,14,41,20,930,471
373,13,2025-10-01,27,21,5,305,20
374,13,2025-11-01,30,23,21,580,656
375,13,2025-12-01,21,5,3,999,361
376,13,2026-01-01,13,62,19,614,569
377,13,2026-02-01,2,21,16,759,270
378,13,2026-03-01,5,25,19,30,558
379,13,2026-04-01,2,67,16,779,166
380,13,2026-05-01,8,47,3,920,232
381,13,2026-06-01,2,42,4,225,95
382,13,2026-07-01,25,17,8,280,503
383,13,2026-08-01,8,12,11,725,574
384,13,2026-09-01,22,38,14,763,838
385,13,2026-10-01,17,56,16,969,419
386,13,2026-11-01,8,33,5,202,713
387,13,2026-12-01,29,36,12,105,607
388,14,2024-06-01,27,76,9,169,823
389,14,2024-07-01,8,63,13,904,466
390,14,2024-08-01,15,77,23,278,845
391,14,2024-09-01,12,80,3,621,402
392,14,2024-10-01,15,26,18,361,392
393,14,2024-11-01,30,9,14,171,44
394,14,2024-12-01,18,33,18,419,310
395,14,2025-01-01,21,68,11,407,40
396,14,2025-02-01,5,24,25,330,449
397,14,2025-03-01,27,24,11,251,84
398,14,2025-04-01,8,48,11,148,808
399,14,2025-05-01,12,16,0,326,714
400,14,2025-06-01,2,43,6,476,591
401,14,2025-07-01,27,42,7,575,77
402,14,2025-08-01,14,37,19,217,549
403,14,2025-09-01,8,14,17,284,743
404,14,2025-10-01,21,10,18,914,671
405,14,2025-11-01,15,56,10,832,337
406,14,2025-12-01,8,26,1,821,515
407,14,2026-01-01,17,6,8,431,132
408,14,2026-02-01,5,58,5,615,344
409,14,2026-03-01,20,50,7,590,31
410,14,2026-04-01,11,3,20,802,886
411,14,2026-05-01,20,1,14,291,144
412,14,2026-06-01,28,52,1,917,556
413,14,2026-07-01,18,6,10,660,26
414,14,2026-08-01,4,61,3,849,831
415,14,2026-09-01,15,39,8,324,781
416,14,2026-10-01,13,52,2,569,803
417,14,2026-11-01,12,64,19,48,412
418,14,2026-12-01,11,59,15,869,666
419,15,2024-11-01,5,48,19,105,39
420,15,2024-12-01,9,7,0,142,117
421,15,2025-01-01,12,56,7,174,100
422,15,2025-02-01,8,48,17,5,714
423,15,2025-03-01,29,7,8,904,813
424,15,2025-04-01,3,15,1,969,321
425,15,2025-05-01,4,34,10,704,637
426,15,2025-06-01,27,49,8,715,184
427,15,2025-07-01,6,75,14,122,139
428,15,2025-08-01,12,19,24,598,880
429,15,2025-09-01,30,53,20,457,694
430,15,2025-10-01,5,67,16,246,601
431,15,2025-11-01,17,63,8,329,801
432,15,2025-12-01,25,62,7,94,280
433,15,2026-01-01,26,38,22,84,371
434,15,2026-02-01,19,32,21,662,762
435,15,2026-03-01,29,27,22,79,86
436,15,2026-04-01,17,8,6,13,696
437,15,2026-05-01,8,60,12,192,509
438,15,2026-06-01,5,44,6,833,614
439,15,2026-07-01,26,68,16,879,330
440,15,2026-08-01,26,40,22,464,681
441,15,2026-09-01,6,65,3,936,143
442,15,2026-10-01,9,47,12,998,473
443,15,2026-11-01,29,80,16,207,808
444,15,2026-12-01,14,25,2,284,443
445,16,2025-01-01,7,40,18,663,114
446,16,2025-02-01,6,60,3,762,122
447,16,2025-03-01,9,3,14,191,283
448,16,2025-04-01,2,61,21,543,473
449,16,2025-05-01,13,34,3,949,573
450,16,2025-06-01,4,46,13,217,164
451,16,2025-07-01,14,65,13,520,351
452,16,2025-08-01,3,57,8,378,110
453,16,2025-09-01,3,49,23,950,442
454,16,2025-10-01,8,38,6,412,190
455,16,2025-11-01,21,36,16,622,515
456,16,2025-12-01,18,56,3,697,61
457,16,2026-01-01,22,32,3,224,127
458,16,2026-02-01,3,5,18,272,254
459,16,2026-03-01,4,69,3,282,241
460,16,2026-04-01,30,80,22,733,424
461,16,2026-05-01,14,51,3,225,761
462,16,2026-06-01,28,35,15,210,185
463,16,2026-07-01,27,27,11,652,304
464,16,2026-08-01,24,77,9,751,13
465,16,2026-09-01,5,24,16,929,727
466,16,2026-10-01,21,62,23,312,883
467,16,2026-11-01,24,31,5,322,707
468,16,2026-12-01,4,22,5,340,476
469,17,2024-08-01,6,2,21,485,448
470,17,2024-09-01,12,3,5,997,280
471,17,2024-10-01,30,10,5,695,788
472,17,2024-11-01,29,2,19,360,495
473,17,2024-12-01,20,1,15,894,263
474,17,2025-01-01,17,15,1,838,27
475,17,2025-02-01,20,38,7,537,525
476,17,2025-03-01,7,19,24,96,112
477,17,2025-04-01,11,43,14,502,762
478,17,2025-05-01,13,70,8,679,508
479,17,2025-06-01,10,47,14,13,857
480,17,2025-07-01,13,39,22,341,540
481,17,2025-08-01,26,77,15,115,286
482,17,2025-09-01,23,67,23,655,31
483,17,2025-10-01,6,53,7,675,155
484,17,2025-11-01,13,64,0,250,601
485,17,2025-12-01,25,56,11,211,772
486,17,2026-01-01,4,25,12,654,120
487,17,2026-02-01,10,70,14,981,549
488,17,2026-03-01,7,34,21,357,349
489,17,2026-04-01,14,76,13,967,292
490,17,2026-05-01,11,25,1,593,542
491,17,2026-06-01,24,44,19,125,453
492,17,2026-07-01,27,59,18,991,821
493,17,2026-08-01,27,45,9,112,18
494,17,2026-09-01,17,19,14,697,163
495,17,2026-10-01,18,38,19,571,690
496,17,2026-11-01,7,39,15,295,76
497,17,2026-12-01,27,38,0,464,51
498,18,2025-01-01,8,37,18,126,64
499,18,2025-02-01,17,40,0,440,370
500,18,2025-03-01,23,1,1,257,151
501,18,2025-04-01,13,37,25,879,524
502,18,2025-05-01,23,72,4,976,98
503,18,2025-06-01,24,35,4,750,211
504,18,2025-07-01,15,75,2,297,234
505,18,2025-08-01,3,61,11,254,841
506,18,2025-09-01,23,50,13,408,110
507,18,2025-10-01,30,34,9,611,328
508,18,2025-11-01,7,73,13,695,340
509,18,2025-12-01,27,75,4,699,796
510,18,2026-01-01,8,33,4,426,577
511,18,2026-02-01,8,39,9,87,314
512,18,2026-03-01,20,60,17,187,394
513,18,2026-04-01,27,56,3,141,549
514,18,2026-05-01,16,41,16,957,711
515,18,2026-06-01,24,46,14,362,447
516,18,2026-07-01,16,54,13,472,38
517,18,2026-08-01,19,4,24,431,100
518,18,2026-09-01,26,18,19,928,319
519,18,2026-10-01,27,32,18,524,392
520,18,2026-11-01,6,80,17,921,589
521,18,2026-12-01,30,38,1,773,875
522,19,2024-03-01,14,17,12,686,16
523,19,2024-04-01,16,67,14,859,65
524,19,2024-05-01,4,8,8,849,675
525,19,2024-06-01,5,43,19,99,851
526,19,2024-07-01,11,73,15,707,349
527,19,2024-08-01,29,8,3,758,608
528,19,2024-09-01,23,66,23,734,64
529,19,2024-10-01,24,27,16,147,585
530,19,2024-11-01,25,64,4,228,701
531,19,2024-12-01,22,20,9,643,328
532,19,2025-01-01,25,1,25,496,648
533,19,2025-02-01,24,26,3,68,10
534,19,2025-03-01,6,78,3,532,109
535,19,2025-04-01,9,27,3,485,35
536,19,2025-05-01,28,65,14,400,66
537,19,2025-06-01,5,39,12,495,198
538,19,2025-07-01,28,31,17,266,851
539,19,2025-08-01,21,57,21,631,136
540,19,2025-09-01,15,19,20,22,199
541,19,2025-10-01,6,31,5,523,769
542,19,2025-11-01,24,70,6,487,501
543,19,2025-12-01,11,38,21,102,612
544,19,2026-01-01,17,48,21,281,410
545,19,2026-02-01,14,14,14,426,843
546,19,2026-03-01,15,19,0,290,478
547,19,2026-04-01,5,73,12,11,604
548,19,2026-05-01,11,5,20,666,682
549,19,2026-06-01,21,57,1,929,373
550,19,2026-07-01,6,60,23,469,293
551,19,2026-08-01,2,21,11,512,886
552,19,2026-09-01,29,65,6,357,733
553,19,2026-10-01,18,50,16,64,188
554,19,2026-11-01,22,20,11,671,746
555,19,2026-12-01,20,44,14,732,889
556,20,2024-04-01,27,18,8,803,790
557,20,2024-05-01,23,39,12,69,869
558,20,2024-06-01,22,62,12,985,493
559,20,2024-07-01,21,24,18,725,529
560,20,2024-08-01,26,68,8,132,724
561,20,2024-09-01,12,76,18,356,608
562,20,2024-10-01,21,52,2,46,40
563,20,2024-11-01,29,21,7,98,691
564,20,2024-12-01,5,64,21,487,341
565,20,2025-01-01,26,30,24,827,760
566,20,2025-02-01,27,31,3,921,188
567,20,2025-03-01,25,50,24,996,440
568,20,2025-04-01,4,8,19,256,127
569,20,2025-05-01,3,10,14,781,393
570,20,2025-06-01,21,4,5,328,120
571,20,2025-07-01,24,58,12,136,662
572,20,2025-08-01,20,72,6,200,268
573,20,2025-09-01,17,57,21,292,240
574,20,2025-10-01,8,21,13,833,551
575,20,2025-11-01,27,25,2,596,34
576,20,2025-12-01,22,13,6,34,839
577,20,2026-01-01,6,1,11,792,427
578,20,2026-02-01,20,70,2,348,199
579,20,2026-03-01,23,68,15,194,862
580,20,2026-04-01,8,74,15,512,370
581,20,2026-05-01,13,80,17,873,151
582,20,2026-06-01,27,9,14,437,650
583,20,2026-07-01,14,10,18,80,140
584,20,2026-08-01,27,67,9,103,130
585,20,2026-09-01,17,30,1,615,563
586,20,2026-10-01,12,3,7,841,306
587,20,2026-11-01,28,33,12,720,376
588,20,2026-12-01,4,21,9,76,557
589,21,2024-04-01,20,31,16,954,635
590,21,2024-05-01,18,40,12,633,68
591,21,2024-06-01,19,15,18,482,279
592,21,2024-07-01,22,4,1,346,441
593,21,2024-08-01,10,26,10,909,793
594,21,2024-09-01,3,18,6,560,846
595,21,2024-10-01,25,43,24,679,73
596,21,2024-11-01,9,64,2,824,587
597,21,2024-12-01,30,79,22,855,793
598,21,2025-01-01,27,5,11,72,436
599,21,2025-02-01,21,79,2,908,574
600,21,2025-03-01,17,17,8,740,52
601,21,2025-04-01,5,5,15,519,240
602,21,2025-05-01,22,45,13,489,320
603,21,2025-06-01,27,30,0,953,66
604,21,2025-07-01,2,26,17,622,890
605,21,2025-08-01,14,3,17,493,63
606,21,2025-09-01,14,49,22,128,450
607,21,2025-10-01,24,55,17,141,128
608,21,2025-11-01,16,16,19,925,386
609,21,2025-12-01,13,25,10,447,69
610,21,2026-01-01,9,30,2,602,20
611,21,2026-02-01,9,53,23,770,837
612,21,2026-03-01,27,69,18,46,831
613,21,2026-04-01,2,32,1,78,68
614,21,2026-05-01,6,57,5,289,54
615,21,2026-06-01,12,45,19,670,260
616,21,2026-07-01,11,17,19,407,500
617,21,2026-08-01,23,16,21,78,88
618,21,2026-09-01,10,70,6,506,732
619,21,2026-10-01,25,46,7,454,740
620,21,2026-11-01,11,47,24,564,309
621,21,2026-12-01,29,32,16,914,283
622,22,2024-05-01,12,70,16,106,65
623,22,2024-06-01,13,53,22,973,646
624,22,2024-07-01,17,36,2,208,150
625,22,2024-08-01,28,67,7,312,769
626,22,2024-09-01,19,27,3,381,752
627,22,2024-10-01,28,19,1,240,725
628,22,2024-11-01,16,59,3,21,520
629,22,2024-12-01,28,5,8,284,612
630,22,2025-01-01,14,39,2,61,295
631,22,2025-02-01,29,79,12,507,29
632,22,2025-03-01,29,49,12,454,55
633,22,2025-04-01,9,27,12,188,685
634,22,2025-05-01,15,69,1,676,322
635,22,2025-06-01,3,70,24,356,36
636,22,2025-07-01,21,44,8,829,781
637,22,2025-08-01,20,28,24,28,359
638,22,2025-09-01,25,80,13,886,447
639,22,2025-10-01,27,8,25,111,576
640,22,2025-11-01,14,37,17,474,444
641,22,2025-12-01,20,73,24,531,276
642,22,2026-01-01,7,49,14,763,253
643,22,2026-02-01,6,2,8,818,708
644,22,2026-03-01,10,11,7,789,565
645,22,2026-04-01,11,44,18,404,49
646,22,2026-05-01,21,36,11,275,685
647,22,2026-06-01,10,78,0,127,324
648,22,2026-07-01,20,42,8,867,193
649,22,2026-08-01,16,60,0,450,19
650,22,2026-09-01,16,5,11,491,663
651,22,2026-10-01,29,72,6,418,69
652,22,2026-11-01,20,11,8,918,634
653,22,2026-12-01,19,41,2,451,194
654,23,2024-10-01,10,36,8,889,516
655,23,2024-11-01,6,30,20,178,160
656,23,2024-12-01,29,80,20,50,248
657,23,2025-01-01,5,5,5,700,528
658,23,2025-02-01,29,57,18,324,52
659,23,2025-03-01,19,30,1,974,741
660,23,2025-04-01,10,33,0,694,875
661,23,2025-05-01,29,46,17,735,55
662,23,2025-06-01,21,31,11,111,89
